view,kind,lag,layer,head,value,count
post_rope,k,4,8,0,0.7287133250917707,14
post_rope,k,4,8,1,0.7871396030698504,14
post_rope,k,4,8,2,0.7209976017475128,14
post_rope,k,4,8,3,0.5685097085578101,14
post_rope,k,4,9,-1,0.7899098992347717,56
post_rope,k,4,9,0,0.7803357413836888,14
post_rope,k,4,9,1,0.7830318297658648,14
post_rope,k,4,9,2,0.8102935935769763,14
post_rope,k,4,9,3,0.785978479044778,14
post_rope,k,4,10,-1,0.7623113947255271,56
post_rope,k,4,10,0,0.7616641095706395,14
post_rope,k,4,10,1,0.7724270863192422,14
post_rope,k,4,10,2,0.7630683737141746,14
post_rope,k,4,10,3,0.7520860263279506,14
post_rope,k,4,11,-1,0.6623144320079258,56
post_rope,k,4,11,0,0.6056382762534278,14
post_rope,k,4,11,1,0.6325228022677558,14
post_rope,k,4,11,2,0.7058930950505393,14
post_rope,k,4,11,3,0.7052036098071507,14
post_rope,k,4,12,-1,0.672233658177512,56
post_rope,k,4,12,0,0.8456714706761497,14
post_rope,k,4,12,1,0.5664855922971453,14
post_rope,k,4,12,2,0.681653346334185,14
post_rope,k,4,12,3,0.5951242319175175,14
post_rope,k,4,13,-1,0.8164920466286796,56
post_rope,k,4,13,0,0.9518856363637107,14
post_rope,k,4,13,1,0.6509162528174264,14
post_rope,k,4,13,2,0.8482844616685595,14
post_rope,k,4,13,3,0.8148818612098694,14
post_rope,k,4,14,-1,0.6251237243413925,56
post_rope,k,4,14,0,0.5261524021625519,14
post_rope,k,4,14,1,0.6460957740034375,14
post_rope,k,4,14,2,0.669799132006509,14
post_rope,k,4,14,3,0.6584475593907493,14
post_rope,k,4,15,-1,0.6531195768288204,56
post_rope,k,4,15,0,0.6036504081317356,14
post_rope,k,4,15,1,0.5648639627865383,14
post_rope,k,4,15,2,0.5650095237152917,14
post_rope,k,4,15,3,0.8789544403553009,14
post_rope,k,4,16,-1,0.7403224664075034,56
post_rope,k,4,16,0,0.7516174486705235,14
post_rope,k,4,16,1,0.7124496826103756,14
post_rope,k,4,16,2,0.6741665026971272,14
post_rope,k,4,16,3,0.8230562380381993,14
post_rope,k,4,17,-1,0.6785015719277518,56
post_rope,k,4,17,0,0.665382593870163,14
post_rope,k,4,17,1,0.6921699132238116,14
post_rope,k,4,17,2,0.6650575356824058,14
post_rope,k,4,17,3,0.6913962023598808,14
post_rope,k,4,18,-1,0.770669800894601,56
post_rope,k,4,18,0,0.7315830162593296,14
post_rope,k,4,18,1,0.8209991753101349,14
post_rope,k,4,18,2,0.7193090106759753,14
post_rope,k,4,18,3,0.8107880226203373,14
post_rope,k,4,19,-1,0.7584776750632695,56
post_rope,k,4,19,0,0.9598118151937213,14
post_rope,k,4,19,1,0.6789502160889762,14
post_rope,k,4,19,2,0.6288717921291079,14
post_rope,k,4,19,3,0.7662768534251622,14
post_rope,k,4,20,-1,0.7215753751141685,56
post_rope,k,4,20,0,0.746588626078197,14
post_rope,k,4,20,1,0.7270220624549049,14
post_rope,k,4,20,2,0.7189348936080933,14
post_rope,k,4,20,3,0.6937559374741146,14
post_rope,k,4,21,-1,0.763421607869012,56
post_rope,k,4,21,0,0.7569652029446193,14
post_rope,k,4,21,1,0.8286946884223393,14
post_rope,k,4,21,2,0.7001699932983944,14
post_rope,k,4,21,3,0.7678565723555428,14
post_rope,k,4,22,-1,0.7236359885760716,56
post_rope,k,4,22,0,0.6051775153194155,14
post_rope,k,4,22,1,0.7413961546761649,14
post_rope,k,4,22,2,0.8000922926834652,14
post_rope,k,4,22,3,0.7478779767240796,14
post_rope,k,4,23,-1,0.7370325752667019,56
post_rope,k,4,23,0,0.804607446704592,14
post_rope,k,4,23,1,0.669762624161584,14
post_rope,k,4,23,2,0.7015851140022278,14
post_rope,k,4,23,3,0.7721750693661826,14
post_rope,k,4,24,-1,0.7184589420046125,56
post_rope,k,4,24,0,0.6160818551267896,14
post_rope,k,4,24,1,0.778574960572379,14
post_rope,k,4,24,2,0.7481904711042132,14
post_rope,k,4,24,3,0.7309884705713817,14
post_rope,k,4,25,-1,0.7124966893877301,56
post_rope,k,4,25,0,0.771023405449731,14
post_rope,k,4,25,1,0.7133760878017971,14
post_rope,k,4,25,2,0.627673055444445,14
post_rope,k,4,25,3,0.7379141833101001,14
post_rope,k,4,26,-1,0.6321236704077039,56
post_rope,k,4,26,0,0.6853432953357697,14
post_rope,k,4,26,1,0.5544112963335854,14
post_rope,k,4,26,2,0.6993534777845655,14
post_rope,k,4,26,3,0.5893866377217429,14
post_rope,k,4,27,-1,0.7769189562116351,56
post_rope,k,4,27,0,0.7385660835674831,14
post_rope,k,4,27,1,0.9997868750776563,14
post_rope,k,4,27,2,0.6860729072775159,14
post_rope,k,4,27,3,0.6832499610526221,14
post_rope,k,8,0,-1,0.9982753495375315,24
post_rope,k,8,0,0,0.9995121856530508,6
post_rope,k,8,0,1,0.9983164171377817,6
post_rope,k,8,0,2,0.9987118144830068,6
post_rope,k,8,0,3,0.9965609808762869,6
post_rope,k,8,1,-1,0.8857598404089609,24
post_rope,k,8,1,0,0.9976376891136169,6
post_rope,k,8,1,1,0.8400638997554779,6
post_rope,k,8,1,2,0.8418005009492239,6
post_rope,k,8,1,3,0.8635372718175253,6
post_rope,k,8,2,-1,0.8010510702927908,24
post_rope,k,8,2,0,0.5061177462339401,6
post_rope,k,8,2,1,0.9416941404342651,6
post_rope,k,8,2,2,0.8894298871358236,6
post_rope,k,8,2,3,0.8669625520706177,6
post_rope,k,8,3,-1,0.8643921713034312,24
post_rope,k,8,3,0,0.9834896326065063,6
post_rope,k,8,3,1,0.6814451316992441,6
post_rope,k,8,3,2,0.8654023706912994,6
post_rope,k,8,3,3,0.9272315402825674,6
post_rope,k,8,4,-1,0.5741327504316965,24
post_rope,k,8,4,0,0.655635396639506,6
post_rope,k,8,4,1,0.3379306271672249,6
post_rope,k,8,4,2,0.7051183382670084,6
post_rope,k,8,4,3,0.5978466272354126,6
post_rope,k,8,5,-1,0.6469085117181143,24
post_rope,k,8,5,0,0.7873557408650717,6
